ipr_accession	ipr_description	ENTRY_TYPE	represents_family
IPR005559	CG-1 DNA-binding domain	Domain	CG-1
IPR006600	HTH CenpB-type DNA-binding domain	Domain	CENPB
IPR006612	THAP-type zinc finger	Domain	THAP finger
IPR007588	"Zinc finger, FLYWCH-type"	Domain	FLYWCH
IPR007604	CP2 transcription factor	Domain	Grainyhead
IPR007889	"DNA binding HTH domain, Psq-type"	Domain	Pipsqueak
IPR008422	Homeobox KN domain	Domain	Homeodomain
IPR008967	"p53-like transcription factor, DNA-binding"	Homologous_superfamily	p53
IPR009057	Homeobox-like domain superfamily	Homologous_superfamily	Homeodomain
IPR009071	High mobility group box domain	Domain	HMG/Sox
IPR011129	Cold shock domain	Domain	CSD
IPR011539	"Rel homology domain (RHD), DNA-binding domain"	Domain	Rel
IPR011598	"Myc-type, basic helix-loop-helix (bHLH) domain"	Domain	bHLH
IPR011615	"p53, DNA-binding domain"	Domain	p53
IPR012346	"p53/RUNT-type transcription factor, DNA-binding domain superfamily"	Homologous_superfamily	p53
IPR013019	"MAD homology, MH1"	Domain	SMAD
IPR013087	Zinc finger C2H2-type	Domain	C2H2 ZF
IPR013524	Runt domain	Domain	Runt
IPR013801	"STAT transcription factor, DNA-binding"	Domain	STAT
IPR013847	POU domain	Domain	POU
IPR013854	"Transcription factor AP-2, C-terminal"	Domain	AP-2
IPR015351	"RBP-J/Cbf11/Cbf12, DNA binding"	Domain	CSL
IPR015445	TATA-Box binding protein-like	Domain_Family	TBP
IPR016177	DNA-binding domain superfamily	Homologous_superfamily	MBD
IPR017877	Myb-like domain	Domain	Myb/SANT
IPR017930	Myb domain	Domain	Myb/SANT
IPR017956	"AT hook, DNA-binding motif"	Conserved_site	AT hook
IPR018586	Brinker DNA-binding domain	Domain	Brinker
IPR019844	Cold-shock (CSD) domain	Domain	CSD
IPR020479	"Homeobox domain, metazoa"	Domain	Homeodomain
IPR023082	Homeo-prospero domain	Domain	Prospero
IPR024061	NDT80 DNA-binding domain	Domain	Ndt80/PhoG
IPR024578	"Homez, homeobox domain"	Domain	Homeodomain
IPR028002	Myb/SANT-like DNA-binding domain	Domain	Myb/SANT
IPR031799	C2H2-type zinc ribbon	Domain	C2H2 ZF
IPR032200	"Transcription factor COE, DNA-binding domain"	Domain	EBF1
IPR032355	"SATB, CUT1-like DNA-binding domain"	Domain	CUT
IPR033467	Tesmin/TSO1-like CXC domain	Domain	TCR/CxC
IPR033710	"TATA-box binding protein, eukaryotic"	Domain_Family	TBP
IPR033896	MADS MEF2-like	Domain	MADS box
IPR033897	MADS SRF-like	Domain	MADS box
IPR034736	Zinc finger C2H2 AKAP95-type	Domain	C2H2 ZF
IPR036060	"Zinc finger, C2H2C-type superfamily"	Homologous_superfamily	C2H2 ZF
IPR036236	Zinc finger C2H2 superfamily	Homologous_superfamily	C2H2 ZF
IPR036388	Winged helix-like DNA-binding domain superfamily	Homologous_superfamily	Winged HTH
IPR036390	Winged helix DNA-binding domain superfamily	Homologous_superfamily	Winged HTH
IPR036431	ARID DNA-binding domain superfamily	Homologous_superfamily	ARID/BRIGHT
IPR036647	GTF2I-like repeat superfamily	Homologous_superfamily	GTF2I-like
IPR036910	High mobility group box domain superfamily	Homologous_superfamily	HMG/Sox
IPR037220	Zinc finger BED domain	Homologous_superfamily	BED ZF
IPR040450	"TFIIF beta subunit, HTH domain"	Domain	HTH
IPR040647	"SPIN-DOC, C2H2-type zinc-finger"	Domain	C2H2 ZF
IPR041011	"ZBTB21, zinc finger domain"	Domain	C2H2 ZF
IPR041042	"Hakai, C2H2 zinc finger domain"	Domain	C2H2 ZF
IPR041057	"ZHX, C2H2 finger domain"	Domain	C2H2 ZF
IPR041367	"E3 ligase, CCCH-type zinc finger"	Domain	CCCH ZF
IPR041643	"ZIC protein, zinc finger domain"	Domain	C2H2 ZF
IPR041661	"ZN622/Rei1/Reh1, zinc finger C2H2-type"	Domain	C2H2 ZF
IPR041686	Zinc-finger CCCH domain	Domain	CCCH ZF
IPR041697	Zinc-finger C2H2-type 11	Domain	C2H2 ZF
IPR042153	"VDR, DNA-binding domain"	Domain	Nuclear receptor
