ipr_accession	ipr_description	ENTRY_TYPE	category	category_comment	category_content	category_content_comment	represents_family
IPR017877	Myb-like domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Myb/SANT
IPR017930	Myb domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Myb/SANT
IPR017956	AT hook, DNA-binding motif	Conserved_site	DBD	Evidence from InterPro description	is	Evidence from InterPro description	AT hook
IPR018586	Brinker DNA-binding domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Brinker
IPR019844	Cold-shock (CSD) domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	CSD
IPR020479	Homeobox domain, metazoa	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Homeodomain
IPR023082	Homeo-prospero domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Prospero
IPR024061	NDT80 DNA-binding domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Ndt80/PhoG
IPR024578	Homez, homeobox domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Homeodomain
IPR028002	Myb/SANT-like DNA-binding domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Myb/SANT
IPR031799	C2H2-type zinc ribbon	Domain	DBD	Family in HumanTFs (C2H2 ZF)	contains	Evidence from InterPro description; contains 3 ZFs in a tandem	C2H2 ZF
IPR032200	Transcription factor COE, DNA-binding domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	EBF1
IPR032355	SATB, CUT1-like DNA-binding domain	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	CUT
IPR033467	Tesmin/TSO1-like CXC domain	Domain	DBD	Qualified as DBD in HumanTFs	is	Evidence from InterPro description	TCR/CxC
IPR033710	TATA-box binding protein, eukaryotic	Domain_Family	DBD	Evidence from InterPro description, CDD signature and scan results	is	Evidence from matches: they cover the two TBP repeats and have the relevant length of 170+ aa	TBP
IPR033896	MADS MEF2-like	Domain	DBD	Represents a TF	is	"Evidence from InterPro: qualified as domain and overlaps with the ""Transcription factor, MADS-box superfamily"""	MADS box
IPR033897	MADS SRF-like	Domain	DBD	Evidence from InterPro description	is	"Evidence from InterPro: qualified as domain and overlaps with the ""Transcription factor, MADS-box superfamily"""	MADS box
IPR034736	Zinc finger C2H2 AKAP95-type	Domain	DBD	Evidence from InterPro description	is	Evidence from InterPro description	C2H2 ZF
IPR036060	Zinc finger, C2H2C-type superfamily	Homologous_superfamily	DBD	Evidence from InterPro description	is	Evidence from InterPro description	C2H2 ZF
IPR036236	Zinc finger C2H2 superfamily	Homologous_superfamily	DBD	Evidence from InterPro description	is	Evidence from InterPro description	C2H2 ZF
IPR036388	Winged helix-like DNA-binding domain superfamily	Homologous_superfamily	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Winged HTH
IPR036390	Winged helix DNA-binding domain superfamily	Homologous_superfamily	DBD	Evidence from InterPro description	is	Evidence from InterPro description	Winged HTH
IPR036431	ARID DNA-binding domain superfamily	Homologous_superfamily	DBD	Evidence from InterPro description	is	Evidence from InterPro description	ARID/BRIGHT
IPR036647	GTF2I-like repeat superfamily	Homologous_superfamily	DBD	Evidence from InterPro description	is	Evidence from InterPro description	GTF2I-like
IPR036910	High mobility group box domain superfamily	Homologous_superfamily	DBD	Evidence from InterPro description	is	Evidence from InterPro description	HMG/Sox
IPR037220	Zinc finger BED domain	Homologous_superfamily	DBD	Family in HumanTFs (BED ZF)	is	Evidence from InterPro description	BED ZF
IPR040450	TFIIF beta subunit, HTH domain	Domain	DBD	Evidence from InterPro description; HTH is usually a typical DBD	is	Evidence from InterPro description; HTH is usually a typical DBD, and this entry overlaps with DNA-binding winged HTH entries	HTH
IPR040647	SPIN-DOC, C2H2-type zinc-finger	Domain	DBD	Family in HumanTFs (C2H2 ZF)	is	Evidence from InterPro description	C2H2 ZF
IPR041011	ZBTB21, zinc finger domain	Domain	DBD	Family in HumanTFs (C2H2 ZF)	is	Evidence from InterPro description	C2H2 ZF
IPR041042	Hakai, C2H2 zinc finger domain	Domain	DBD	Family in HumanTFs (C2H2 ZF)	is	Evidence from InterPro description	C2H2 ZF
IPR041057	ZHX, C2H2 finger domain	Domain	DBD	Family in HumanTFs (C2H2 ZF)	is	Evidence from InterPro description	C2H2 ZF
IPR041367	E3 ligase, CCCH-type zinc finger	Domain	DBD	Family in HumanTFs (CCCH ZF)	is	Evidence from InterPro description	CCCH ZF
IPR041643	ZIC protein, zinc finger domain	Domain	DBD	Family in HumanTFs (C2H2 ZF)	is	Evidence from InterPro description	C2H2 ZF
IPR041661	ZN622/Rei1/Reh1, zinc finger C2H2-type	Domain	DBD	Family in HumanTFs (C2H2 ZF)	contains	Evidence from InterPro description; contains 2 copies of a C2H2 ZF	C2H2 ZF
IPR041686	Zinc-finger CCCH domain	Domain	DBD	Family in HumanTFs (CCCH ZF)	contains	"Evidence from InterPro description; in the InterPro entry it is described as a ""zinc-finger containing domain"""	CCCH ZF
IPR041697	Zinc-finger C2H2-type 11	Domain	DBD	Family in HumanTFs (C2H2 ZF)	is	Evidence from InterPro description	C2H2 ZF
IPR042153	VDR, DNA-binding domain	Domain	DBD	Evidence from InterPro description	contains	Evidence from InterPro description; contains 2 copies of a C4-type ZF	Nuclear receptor
